Customer ID,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
0040-HALCW,Yes,19.7,No,No,,0,,,,,,,,
0042-JVWOJ,Yes,37.7,No,No,,0,,,,,,,,
0042-RLHYP,Yes,38.39,No,No,,0,,,,,,,,
0048-LUMLS,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes
0048-PIHNL,Yes,49.58,No,No,,0,,,,,,,,
0052-DCKON,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,Yes,23.12,No,No,,0,,,,,,,,
0056-EPFBG,No,1,,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes
0057-QBUQH,Yes,30.64,Yes,No,,0,,,,,,,,
0058-EVZWM,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes
0060-FUALY,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes
0064-SUDOG,Yes,19.28,No,No,,0,,,,,,,,
0064-YIJGF,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
0067-DKWBL,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes
0068-FIGTF,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,Yes,23.69,Yes,No,,0,,,,,,,,
0074-HDKDG,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes
0076-LVEPS,No,1,,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes
0078-XZMHT,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes
0080-OROZO,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0082-LDZUE,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes
0082-OQIQY,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No
0083-PIVIK,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No
0089-IIQKO,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes
0093-EXYQL,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes
0093-XWZFY,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0094-OIFMO,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No
0096-BXERS,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes
0096-FCPUF,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes
0098-BOWSO,Yes,20.66,No,No,,0,,,,,,,,
0100-DUVFC,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes
0103-CSITQ,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes
0106-GHRQR,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes
0106-UGRDO,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,Yes,31.77,No,No,,0,,,,,,,,
0107-YHINA,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes
0111-KLBQG,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes
0112-QAWRZ,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes
0112-QWPNC,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0114-IGABW,No,1,,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0114-RSRRW,Yes,49.6,No,No,,0,,,,,,,,
0115-TFERT,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No
0117-LFRMW,No,1,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes
0118-JPNOY,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes
0121-SNYRK,No,1,,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes
0122-OAHPZ,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes
0123-CRBRT,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0128-MKWSG,No,1,,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes
0129-KPTWJ,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes
0129-QMPDR,Yes,27.4,No,No,,0,,,,,,,,
0130-SXOUN,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No
0133-BMFZO,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes
0134-XWXCE,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0135-NMXAP,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes
0136-IFMYD,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes
0137-OCGAB,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes
0137-UDEUO,Yes,25.75,No,No,,0,,,,,,,,
0139-IVFJG,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes
0141-YEAYS,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes
0142-GVYSN,Yes,13.34,No,No,,0,,,,,,,,
0147-ESWWR,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes
0148-DCDOS,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes
0151-ONTOV,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
0156-FVPTA,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes
0164-APGRB,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,Yes,10.64,No,No,,0,,,,,,,,
0168-XZKBB,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes
0174-QRVVY,Yes,9.2,Yes,No,,0,,,,,,,,
0177-PXBAT,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes
0178-CIIKR,Yes,2.69,No,No,,0,,,,,,,,
0178-SZBHO,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes
0181-RITDD,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0186-CAERR,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes
0187-WZNAB,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes
0188-GWFLE,Yes,1.81,No,No,,0,,,,,,,,
0191-EQUUH,No,1,,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes
0191-ZHSKZ,Yes,38.61,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes
0193-ESZXP,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0195-IESCP,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No
0196-JTUQI,Yes,9.27,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes
0196-VULGZ,Yes,28.71,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,No,Yes
0197-PNKNK,Yes,38.92,Yes,Yes,Fiber Optic,16,Yes,No,Yes,No,No,No,No,No
0201-MIBOL,Yes,10.45,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Yes
0201-OAMXR,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,Yes,5.57,Yes,No,,0,,,,,,,,
0206-OYVOC,Yes,24.33,No,No,,0,,,,,,,,
0206-TBWLC,Yes,11.4,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0208-BPQEJ,Yes,8.25,No,No,,0,,,,,,,,
0212-ISBBF,No,1,,Yes,Cable,22,No,Yes,No,No,Yes,Yes,Yes,Yes
0214-JHPFW,No,1,,Yes,Cable,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0215-BQKGS,Yes,24.73,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,No
0218-QNVAS,Yes,28.34,Yes,Yes,Fiber Optic,59,No,Yes,No,No,Yes,Yes,Yes,Yes
0219-QAERP,Yes,9.81,No,No,,0,,,,,,,,
0219-YTZUE,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes
0220-EBGCE,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes
0221-NAUXK,Yes,7.86,No,No,,0,,,,,,,,
0221-WMXNQ,Yes,36.4,No,Yes,Fiber Optic,29,Yes,No,No,No,No,No,No,Yes
0222-CNVPT,No,1,,Yes,DSL,19,Yes,No,No,No,Yes,Yes,Yes,Yes
0224-HJAPT,Yes,22.01,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes
0224-NIJLP,Yes,2.87,No,No,,0,,,,,,,,
0224-RLWWD,Yes,23.91,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes
0225-ZORZP,Yes,13.72,No,Yes,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,Yes
0228-MAUWC,Yes,11.85,Yes,Yes,DSL,18,No,No,Yes,Yes,No,No,No,Yes
0229-LFJAF,Yes,3.66,Yes,Yes,DSL,13,Yes,Yes,Yes,Yes,No,No,No,Yes
0230-UBYPQ,No,1,,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes
0230-WEQUW,No,1,,Yes,DSL,29,Yes,Yes,Yes,Yes,Yes,No,No,Yes
0231-LXVAP,Yes,44.56,No,Yes,Fiber Optic,27,No,No,No,Yes,No,No,No,Yes
0233-FTHAV,Yes,15.29,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,No,No,Yes
0234-TEVTT,No,1,,Yes,DSL,22,Yes,No,Yes,No,No,Yes,Yes,Yes
0235-KGSLC,Yes,33.34,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes
0236-HFWSV,Yes,48.93,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,Yes,Yes
0237-YFUTL,Yes,34.57,Yes,Yes,Fiber Optic,13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0238-WHBIQ,Yes,33.75,Yes,Yes,Cable,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0239-OXEXL,Yes,43.27,Yes,Yes,Fiber Optic,21,Yes,Yes,No,No,No,No,No,No
0244-LGNFY,Yes,30,Yes,Yes,DSL,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0247-SLUJI,Yes,34.28,No,No,,0,,,,,,,,
0248-IPDFW,Yes,29.13,Yes,Yes,Cable,51,No,No,No,No,No,No,No,Yes
0248-PGHBZ,Yes,2.57,No,Yes,Fiber Optic,21,Yes,Yes,No,Yes,Yes,No,No,Yes
0253-ZTEOB,Yes,8.94,Yes,Yes,DSL,27,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0254-FNMCI,Yes,41.91,No,Yes,Fiber Optic,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0254-KCJGT,Yes,41.34,Yes,Yes,Cable,24,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0254-WWRKD,Yes,46.9,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes
0256-LTHVJ,Yes,16.85,No,Yes,Fiber Optic,13,No,No,No,No,No,Yes,Yes,Yes
0257-KXZGU,Yes,33.28,Yes,Yes,DSL,51,No,Yes,Yes,No,No,No,Yes,Yes
0257-ZESQC,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes
0258-NOKBL,Yes,31.48,No,Yes,Fiber Optic,73,No,Yes,Yes,No,No,Yes,Yes,Yes
0259-GBZSH,Yes,40.43,Yes,Yes,Cable,27,No,No,No,No,Yes,No,Yes,Yes
0260-ZDLGK,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0263-FJTQO,Yes,44.49,Yes,Yes,Cable,28,Yes,No,No,Yes,Yes,No,No,Yes
0264-CNITK,Yes,31.03,No,No,,0,,,,,,,,
0265-EDXBD,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0265-PSUAE,Yes,27.27,No,Yes,Fiber Optic,76,Yes,No,Yes,No,Yes,Yes,Yes,Yes
0266-CLZKZ,Yes,17.79,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0266-GMEAO,Yes,15.94,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0268-QKIWO,Yes,24.63,No,No,,0,,,,,,,,
0269-XFESX,Yes,48.02,Yes,No,,0,,,,,,,,
0270-THENM,Yes,28.37,Yes,Yes,DSL,18,Yes,Yes,Yes,Yes,No,No,No,Yes
0274-JKUJR,No,1,,Yes,Cable,47,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0277-BKSQP,Yes,1.56,No,Yes,DSL,57,No,No,No,No,Yes,No,No,Yes
0277-ORXQS,No,1,,Yes,Cable,23,No,No,No,Yes,Yes,Yes,Yes,No
0278-YXOOG,Yes,34.26,No,No,,0,,,,,,,,
0280-XJGEX,Yes,44.33,Yes,Yes,Fiber Optic,11,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0281-CNTZX,Yes,38.36,No,No,,0,,,,,,,,
0282-NVSJS,No,1,,Yes,DSL,14,No,No,No,Yes,No,No,No,Yes
0285-INHLN,Yes,36.19,No,Yes,DSL,53,Yes,Yes,No,No,No,No,No,Yes
0289-IVARM,Yes,44.81,No,Yes,DSL,20,Yes,Yes,Yes,No,No,No,No,Yes
0292-WEGCH,Yes,4.33,Yes,Yes,DSL,12,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0295-PPHDO,Yes,5.59,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes
0295-QVKPB,Yes,13.96,No,Yes,DSL,5,No,No,Yes,Yes,Yes,No,No,Yes
0297-RBCSG,Yes,41.79,No,Yes,DSL,6,No,Yes,No,Yes,No,Yes,Yes,No
0298-XACET,No,1,,Yes,DSL,17,No,Yes,Yes,Yes,Yes,No,No,Yes
0301-FIDRB,No,1,,Yes,DSL,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0301-KOBTQ,Yes,14.91,No,No,,0,,,,,,,,
0302-JOIVN,Yes,16.88,No,Yes,Fiber Optic,6,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0303-UNCIP,Yes,37.55,Yes,Yes,DSL,30,No,No,Yes,No,No,Yes,Yes,No
0303-WMMRN,Yes,21.01,No,No,,0,,,,,,,,
0305-SQECB,No,1,,Yes,DSL,17,Yes,No,No,Yes,No,No,No,No
0306-JAELE,Yes,31.09,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,Yes,Yes,Yes
0307-BCOPK,Yes,41.51,No,No,,0,,,,,,,,
0308-GIQJT,Yes,6.1,Yes,Yes,Fiber Optic,9,No,Yes,No,Yes,Yes,Yes,No,Yes
0308-IVGOK,No,1,,Yes,DSL,59,No,Yes,Yes,Yes,No,No,No,Yes
0310-MVLET,Yes,49.33,Yes,Yes,Fiber Optic,7,No,Yes,No,No,Yes,Yes,Yes,Yes
0310-SUCIN,Yes,23.06,No,Yes,Cable,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0310-VQXAM,Yes,40.74,No,No,,0,,,,,,,,
0311-QYWSS,Yes,39.16,No,Yes,DSL,8,Yes,No,No,No,No,No,No,Yes
0311-UNPFF,Yes,38.09,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,No
0314-TKOSI,Yes,6.98,No,Yes,Cable,30,Yes,Yes,No,No,No,No,No,No
0315-LVCRK,Yes,30.57,No,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,Yes,Yes
0318-QUUOB,Yes,43.67,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,Yes,No
0318-ZOPWS,Yes,2.82,No,No,,0,,,,,,,,
0319-QZTCO,Yes,11.47,No,Yes,DSL,51,No,Yes,No,No,Yes,No,No,Yes
0320-DWVTU,Yes,43.57,No,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0320-JDNQG,Yes,37.95,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0322-CHQRU,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes
0322-YINQP,Yes,11.35,No,Yes,DSL,9,Yes,No,No,No,No,No,No,Yes
0323-XWWTN,Yes,33.87,Yes,No,,0,,,,,,,,
0324-BRPCJ,Yes,21.33,Yes,Yes,Cable,24,No,Yes,No,No,Yes,Yes,Yes,Yes
0325-XBFAC,Yes,19.49,No,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,No
0326-VDYXE,Yes,16.66,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,No
0327-WFZSY,Yes,17.29,Yes,Yes,Fiber Optic,75,No,No,Yes,No,Yes,Yes,Yes,Yes
0328-GRPMV,Yes,17.37,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes
0329-GTIAJ,Yes,30.18,No,Yes,Fiber Optic,7,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0330-BGYZE,Yes,19.22,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0330-IVZHA,Yes,17.08,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0334-GDDSO,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes
0334-ZFJSR,Yes,35.38,Yes,Yes,Cable,13,Yes,Yes,No,Yes,No,No,No,No
0336-KXKFK,No,1,,Yes,DSL,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0336-PIKEI,Yes,5.27,No,Yes,DSL,9,Yes,Yes,Yes,Yes,Yes,No,No,No
0337-CNPZE,Yes,10.43,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,No
0343-QLUZP,No,1,,Yes,DSL,25,Yes,Yes,Yes,No,No,No,No,Yes
0345-HKJVM,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes
0345-XMMUG,Yes,2,Yes,Yes,Fiber Optic,48,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0347-UBKUZ,Yes,2.74,No,No,,0,,,,,,,,
0348-SDKOL,Yes,3.51,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,No
0354-VXMJC,Yes,34.04,No,No,,0,,,,,,,,
0354-WYROK,Yes,47.95,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes
0356-ERHVT,Yes,12.95,No,Yes,Cable,6,No,No,No,No,No,No,No,Yes
0356-OBMAC,Yes,17.33,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,No,No,Yes
0357-NVCRI,Yes,12.87,No,No,,0,,,,,,,,
0361-HJRDX,No,1,,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0362-RAOQO,Yes,26.03,No,No,,0,,,,,,,,
0362-ZBZWJ,Yes,24.66,Yes,Yes,Fiber Optic,22,No,No,No,No,No,Yes,Yes,Yes
0363-QJVFX,Yes,27.69,Yes,Yes,Fiber Optic,73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0363-SVHYR,Yes,10.11,Yes,Yes,DSL,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0365-BZUWY,Yes,10.11,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0365-GXEZS,Yes,31.79,No,Yes,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes
0365-TRTPY,Yes,11.73,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,No,No,No,No,No
0366-NQSHS,Yes,44.34,No,No,,0,,,,,,,,
0369-ZGOVK,Yes,12.94,No,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes
0373-AIVNJ,No,1,,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes
0374-AACSZ,Yes,38.33,No,Yes,DSL,24,Yes,No,No,No,No,No,No,No
0374-FIUCA,Yes,23.46,No,No,,0,,,,,,,,
0374-IOEGQ,Yes,15.59,No,Yes,Cable,27,No,No,No,No,No,No,No,Yes
0375-HVGXO,No,1,,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes
0376-OIWME,Yes,41.33,No,Yes,Fiber Optic,41,Yes,No,No,No,Yes,Yes,Yes,Yes
0376-YMCJC,Yes,38.69,Yes,Yes,Cable,69,No,No,No,Yes,Yes,No,Yes,Yes
0377-JBKKT,Yes,42.58,No,Yes,DSL,82,Yes,Yes,No,Yes,No,No,Yes,Yes
0378-CJKPV,Yes,4.56,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0378-NHQXU,Yes,17.91,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes
0378-TOVMS,Yes,10.6,No,Yes,Fiber Optic,73,No,No,No,Yes,No,Yes,Yes,Yes
0378-XSZPU,Yes,17.22,No,Yes,Cable,21,Yes,Yes,Yes,No,No,No,No,Yes
0379-DJQHR,Yes,45.25,No,Yes,DSL,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0380-NEAVX,Yes,35,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes
0380-ZCSBI,Yes,4.42,No,No,,0,,,,,,,,
0383-CLDDA,Yes,18.47,Yes,Yes,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0384-LPITE,No,1,,Yes,Cable,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0384-RVBPI,Yes,12.6,No,Yes,DSL,29,Yes,No,Yes,No,No,Yes,Yes,Yes
0386-CWRGM,Yes,47.5,No,No,,0,,,,,,,,
0388-EOPEX,Yes,9.79,No,Yes,Fiber Optic,41,Yes,No,No,No,No,No,No,Yes
0390-DCFDQ,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes
0392-BZIUW,Yes,6.58,Yes,Yes,Fiber Optic,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes
0394-YONDK,Yes,1.22,Yes,No,,0,,,,,,,,
0396-HUJBP,Yes,49.91,No,No,,0,,,,,,,,
