Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Customer Status
0305-SQECB,Female,54,No,1,Gardena,90248,33.876482,-118.284077,Stayed
0306-JAELE,Male,61,No,0,Fallbrook,92028,33.362575,-117.299644,Churned
0307-BCOPK,Female,62,No,0,San Francisco,94134,37.721052,-122.413573,Stayed
0308-GIQJT,Male,80,No,0,San Diego,92126,32.886925,-117.152162,Stayed
0308-IVGOK,Female,23,No,0,Santa Ana,92703,33.748635,-117.906125,Stayed
0310-MVLET,Female,63,Yes,0,Snelling,95369,37.521708,-120.426843,Churned
0310-SUCIN,Female,50,Yes,0,Darwin,93522,36.319181,-117.593053,Stayed
0310-VQXAM,Male,56,No,0,San Bernardino,92404,34.183286,-117.221722,Stayed
0311-QYWSS,Female,63,No,0,Garberville,95542,40.057784,-123.679461,Stayed
0311-UNPFF,Female,58,No,0,Long Beach,90807,33.830099,-118.182239,Churned
0314-TKOSI,Female,29,No,0,Upland,91784,34.141146,-117.655583,Stayed
0315-LVCRK,Male,54,No,0,El Dorado Hills,95762,38.684437,-121.055634,Stayed
0318-QUUOB,Male,25,Yes,0,Santa Rosa,95403,38.488431,-122.752839,Churned
0318-ZOPWS,Female,31,Yes,0,Malibu,90265,34.074572,-118.831181,Stayed
0319-QZTCO,Female,25,Yes,2,Santa Rosa,95401,38.460517,-122.790335,Joined
0320-DWVTU,Female,46,No,0,Riverdale,93656,36.452211,-119.94575,Stayed
0320-JDNQG,Male,28,Yes,0,Oxnard,93035,34.18454,-119.224666,Churned
0322-CHQRU,Male,63,No,0,Palmdale,93591,34.598221,-117.79593,Churned
0322-YINQP,Male,37,No,0,Covina,91723,34.084747,-117.886844,Churned
0323-XWWTN,Male,44,No,1,San Lucas,93954,36.125529,-120.864443,Joined
0324-BRPCJ,Female,74,Yes,0,Palmdale,93591,34.598221,-117.79593,Churned
0325-XBFAC,Male,44,No,0,Hoopa,95546,41.163637,-123.704841,Churned
0326-VDYXE,Female,21,Yes,0,Long Beach,90802,33.752524,-118.210737,Stayed
0327-WFZSY,Male,62,Yes,3,Samoa,95564,40.809636,-124.189977,Stayed
0328-GRPMV,Female,43,No,0,Burnt Ranch,95527,40.854512,-123.450097,Churned
0329-GTIAJ,Female,40,No,0,Garden Grove,92844,33.766476,-117.969795,Churned
0330-BGYZE,Male,48,Yes,0,Milford,96121,40.181279,-120.392967,Stayed
0330-IVZHA,Female,55,Yes,0,Anderson,96007,40.448632,-122.306657,Churned
0334-GDDSO,Male,77,No,0,San Diego,92122,32.85723,-117.209774,Churned
0334-ZFJSR,Female,41,Yes,0,San Diego,92123,32.808814,-117.134694,Stayed
0336-KXKFK,Male,43,No,0,Santa Margarita,93453,35.303926,-120.256567,Stayed
0336-PIKEI,Male,69,Yes,0,Orange,92869,33.792791,-117.789749,Stayed
0337-CNPZE,Female,63,No,0,Los Angeles,90033,34.050198,-118.210946,Churned
0343-QLUZP,Male,38,No,0,San Jose,95111,37.284265,-121.827673,Stayed
0345-HKJVM,Female,43,No,0,San Diego,92109,32.787836,-117.232376,Churned
0345-XMMUG,Female,29,Yes,0,Ione,95640,38.33788,-120.954202,Stayed
0347-UBKUZ,Female,46,No,0,San Mateo,94404,37.556094,-122.272437,Stayed
0348-SDKOL,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,Churned
0354-VXMJC,Male,60,Yes,3,Los Angeles,90034,34.030578,-118.399613,Stayed
0354-WYROK,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,Churned
0356-ERHVT,Male,54,Yes,0,Santa Cruz,95062,36.974575,-121.991149,Stayed
0356-OBMAC,Female,80,No,0,Winchester,92596,33.657433,-117.04254,Stayed
0357-NVCRI,Female,41,No,3,El Cajon,92021,32.832706,-116.873258,Stayed
0361-HJRDX,Female,38,No,0,Sherman Oaks,91403,34.147149,-118.463365,Stayed
0362-RAOQO,Female,48,No,0,Norco,92860,33.925833,-117.559639,Stayed
0362-ZBZWJ,Male,46,No,0,Thornton,95686,38.157794,-121.520223,Churned
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,Churned
0363-SVHYR,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,Stayed
0365-BZUWY,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,Stayed
0365-GXEZS,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,Stayed
0365-TRTPY,Female,52,No,0,Covina,91724,34.08111,-117.853935,Stayed
0366-NQSHS,Male,42,No,0,Colusa,95932,39.273096,-122.050763,Joined
0369-ZGOVK,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,Stayed
0373-AIVNJ,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,Stayed
0374-AACSZ,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,Joined
0374-FIUCA,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,Stayed
0374-IOEGQ,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,Joined
0375-HVGXO,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,Churned
0376-OIWME,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,Stayed
0376-YMCJC,Male,21,No,0,Novato,94949,38.067204,-122.524004,Churned
0377-JBKKT,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,Stayed
0378-CJKPV,Female,56,Yes,0,Oak Park,91377,34.19225,-118.776874,Stayed
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,Churned
0378-TOVMS,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,Churned
0378-XSZPU,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,Churned
0379-DJQHR,Male,60,Yes,0,Sunnyvale,94089,37.421633,-122.009613,Stayed
0380-NEAVX,Male,72,No,0,Newport Beach,92660,33.634626,-117.874882,Stayed
0380-ZCSBI,Male,56,No,0,San Francisco,94133,37.802071,-122.411004,Stayed
0383-CLDDA,Female,42,No,0,Stanford,94305,37.424342,-122.165641,Stayed
0384-LPITE,Male,38,No,0,Los Angeles,90041,34.137412,-118.207607,Stayed
0384-RVBPI,Male,64,No,0,Turlock,95380,37.474396,-120.875917,Stayed
0386-CWRGM,Female,61,Yes,1,Beverly Hills,90210,34.099891,-118.414338,Stayed
0388-EOPEX,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,Churned
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,Churned
0392-BZIUW,Female,44,Yes,0,Fresno,93710,36.822715,-119.761826,Stayed
0394-YONDK,Male,28,Yes,3,Escondido,92025,33.081478,-117.033814,Stayed
0396-HUJBP,Female,34,No,0,Gardena,90247,33.890853,-118.297967,Joined
0396-UKGAI,Male,25,No,3,Encinitas,92024,33.054579,-117.25665,Stayed
0396-YCHWO,Male,58,Yes,0,Sacramento,95829,38.486502,-121.334051,Stayed
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,Churned
0397-ZXWQF,Male,24,No,0,Orick,95555,41.336354,-124.044354,Stayed
0401-WDBXM,Male,22,Yes,3,San Jose,95118,37.255479,-121.889838,Stayed
0402-CQAJN,Female,22,No,0,El Monte,91732,34.074492,-118.01462,Churned
0402-OAMEN,Female,36,Yes,1,Spreckels,93962,36.624641,-121.647195,Stayed
0404-AHASP,Male,23,Yes,0,Beverly Hills,90212,34.062095,-118.401508,Stayed
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,Churned
0406-BPDVR,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,Churned
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,Churned
0409-WTMPL,Female,35,Yes,0,Whittier,90602,33.972119,-118.020188,Stayed
0410-IPFTY,Female,64,Yes,0,Long Beach,90822,33.778436,-118.118648,Stayed
0411-EZJZE,Female,62,No,0,Stockton,95215,37.946282,-121.139499,Joined
0412-UCCNP,Male,20,No,0,Essex,92332,34.9436,-115.287901,Stayed
0415-MOSGF,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,Churned
0419-YAAPX,Male,44,Yes,0,Grass Valley,95949,39.099204,-121.137962,Stayed
0420-BWTPW,Male,40,No,0,San Diego,92117,32.825086,-117.199424,Churned
0420-HLGXF,Female,72,No,0,Visalia,93291,36.391777,-119.372842,Stayed
0420-TXVSG,Male,43,Yes,0,San Jose,95112,37.343827,-121.883119,Stayed
0422-OHQHQ,Female,23,Yes,0,Fresno,93722,36.78979,-119.929894,Stayed
0422-UXFAP,Female,34,Yes,0,San Diego,92117,32.825086,-117.199424,Stayed
0423-UDIJQ,Male,74,No,0,Snelling,95369,37.521708,-120.426843,Stayed
0426-TIRNE,Female,54,No,0,Encino,91316,34.150354,-118.518292,Churned
0428-AXXLJ,Male,29,No,0,Bellflower,90706,33.887676,-118.127289,Stayed
0428-IKYCP,Male,56,Yes,0,Sonora,95370,37.982716,-120.343732,Stayed
0430-IHCDJ,Male,40,No,0,Highland,92346,34.129677,-117.154277,Stayed
0431-APWVY,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,Churned
0432-CAJZV,Male,47,No,0,Temecula,92592,33.507255,-117.029473,Joined
0434-CSFON,Female,34,Yes,0,Los Angeles,90071,34.052917,-118.255178,Stayed
0436-TWFFZ,Female,21,No,0,Long Beach,90805,33.864622,-118.179626,Stayed
0439-IFYUN,Female,78,No,0,Escondido,92027,33.141265,-116.967221,Stayed
0440-EKDCF,Male,47,Yes,0,Herlong,96113,40.198234,-120.18089,Stayed
0440-MOGPM,Female,51,No,0,Petaluma,94954,38.235021,-122.557332,Stayed
0440-QEXBZ,Female,64,No,0,Mojave,93501,35.097323,-118.171288,Stayed
0440-UEDAI,Female,59,No,0,Callahan,96014,41.388397,-122.794636,Stayed
0442-TDYUO,Male,44,Yes,0,Bodega,94922,38.343282,-122.9755,Stayed
0442-ZXKVS,Female,79,Yes,0,Denair,95316,37.524721,-120.757977,Stayed
0447-BEMNG,Female,28,Yes,0,Wrightwood,92397,34.358321,-117.618263,Churned
0447-RXSGD,Male,39,No,0,Monterey,93940,36.362741,-121.869685,Stayed
0454-OKRCT,Male,32,No,0,Palo Alto,94301,37.444314,-122.149996,Stayed
0455-ENTCR,Male,58,Yes,0,Jamestown,95327,37.84771,-120.486589,Stayed
0455-XFASS,Female,61,Yes,2,Campbell,95008,37.279689,-121.954567,Joined
0458-HEUZG,Female,58,No,0,Alderpoint,95511,40.166028,-123.584144,Stayed
0459-SPZHJ,Male,19,Yes,0,Garden Grove,92843,33.764018,-117.931507,Stayed
0461-CVKMU,Female,45,Yes,0,Oak Run,96069,40.689243,-122.037023,Churned
0463-TXOAK,Male,26,No,1,Madison,95653,38.674276,-121.961866,Stayed
0463-WZZKO,Male,23,No,0,Van Nuys,91406,34.195685,-118.490752,Joined
0463-ZSDNT,Male,23,No,0,Escondido,92026,33.21846,-117.116916,Stayed
0464-WJTKO,Female,39,Yes,2,Cedarville,96104,41.505916,-120.152505,Stayed
0468-YRPXN,Male,62,No,0,Lomita,90717,33.794209,-118.317354,Stayed
0471-ARVMX,Female,70,Yes,0,Kelseyville,95451,38.93496,-122.792243,Stayed
0471-LVHGK,Male,34,Yes,0,Orangevale,95662,38.689174,-121.218435,Churned
