Customer ID,Churn Category,Churn Reason
0310-MVLET,Dissatisfaction,Service dissatisfaction
0310-SUCIN,,
0310-VQXAM,,
0311-QYWSS,,
0311-UNPFF,Dissatisfaction,Service dissatisfaction
0314-TKOSI,,
0315-LVCRK,,
0318-QUUOB,Competitor,Competitor had better devices
0318-ZOPWS,,
0319-QZTCO,,
0320-DWVTU,,
0320-JDNQG,Other,Don't know
0322-CHQRU,Competitor,Competitor had better devices
0322-YINQP,Attitude,Attitude of support person
0323-XWWTN,,
0324-BRPCJ,Competitor,Competitor offered more data
0325-XBFAC,Competitor,Competitor offered more data
0326-VDYXE,,
0327-WFZSY,,
0328-GRPMV,Competitor,Competitor had better devices
0329-GTIAJ,Price,Price too high
0330-BGYZE,,
0330-IVZHA,Attitude,Attitude of service provider
0334-GDDSO,Competitor,Competitor made better offer
0334-ZFJSR,,
0336-KXKFK,,
0336-PIKEI,,
0337-CNPZE,Price,Price too high
0343-QLUZP,,
0345-HKJVM,Other,Don't know
0345-XMMUG,,
0347-UBKUZ,,
0348-SDKOL,Competitor,Competitor made better offer
0354-VXMJC,,
0354-WYROK,Other,Don't know
0356-ERHVT,,
0356-OBMAC,,
0357-NVCRI,,
0361-HJRDX,,
0362-RAOQO,,
0362-ZBZWJ,Attitude,Attitude of service provider
0363-QJVFX,Attitude,Attitude of service provider
0363-SVHYR,,
0365-BZUWY,,
0365-GXEZS,,
0365-TRTPY,,
0366-NQSHS,,
0369-ZGOVK,,
0373-AIVNJ,,
0374-AACSZ,,
0374-FIUCA,,
0374-IOEGQ,,
0375-HVGXO,Other,Don't know
0376-OIWME,,
0376-YMCJC,Competitor,Competitor offered higher download speeds
0377-JBKKT,,
0378-CJKPV,,
0378-NHQXU,Other,Deceased
0378-TOVMS,Competitor,Competitor had better devices
0378-XSZPU,Dissatisfaction,Network reliability
0379-DJQHR,,
0380-NEAVX,,
0380-ZCSBI,,
0383-CLDDA,,
0384-LPITE,,
0384-RVBPI,,
0386-CWRGM,,
0388-EOPEX,Attitude,Attitude of support person
0390-DCFDQ,Other,Don't know
0392-BZIUW,,
0394-YONDK,,
0396-HUJBP,,
0396-UKGAI,,
0396-YCHWO,,
0397-GZBBC,Price,Price too high
0397-ZXWQF,,
0401-WDBXM,,
0402-CQAJN,Dissatisfaction,Lack of self-service on Website
0402-OAMEN,,
0404-AHASP,,
0404-SWRVG,Dissatisfaction,Product dissatisfaction
0406-BPDVR,Price,Lack of affordable download/upload speed
0407-BDJKB,Dissatisfaction,Service dissatisfaction
0409-WTMPL,,
0410-IPFTY,,
0411-EZJZE,,
0412-UCCNP,,
0415-MOSGF,Attitude,Attitude of support person
0419-YAAPX,,
0420-BWTPW,Attitude,Attitude of support person
0420-HLGXF,,
0420-TXVSG,,
0422-OHQHQ,,
0422-UXFAP,,
0423-UDIJQ,,
0426-TIRNE,Dissatisfaction,Limited range of services
0428-AXXLJ,,
0428-IKYCP,,
0430-IHCDJ,,
0431-APWVY,Dissatisfaction,Poor expertise of online support
0432-CAJZV,,
0434-CSFON,,
0436-TWFFZ,,
0439-IFYUN,,
0440-EKDCF,,
0440-MOGPM,,
0440-QEXBZ,,
0440-UEDAI,,
0442-TDYUO,,
0442-ZXKVS,,
0447-BEMNG,Price,Price too high
0447-RXSGD,,
0454-OKRCT,,
0455-ENTCR,,
0455-XFASS,,
0458-HEUZG,,
0459-SPZHJ,,
0461-CVKMU,Attitude,Attitude of support person
0463-TXOAK,,
0463-WZZKO,,
0463-ZSDNT,,
0464-WJTKO,,
0468-YRPXN,,
0471-ARVMX,,
0471-LVHGK,Competitor,Competitor offered higher download speeds
0475-RIJEP,Price,Lack of affordable download/upload speed
0479-HMSWA,,
0480-BIXDE,,
0480-KYJVA,,
0481-SUMCB,,
0484-FFVBJ,,
0484-JPBRU,,
0485-ZBSLN,,
0486-HECZI,Price,Long distance charges
0486-LGCCH,,
0487-CRLZF,,
0487-RPVUM,,
0487-VVUVK,,
0488-GSLFR,Dissatisfaction,Product dissatisfaction
0489-WMEMG,,
0491-KAPQG,,
0495-RVCBF,Dissatisfaction,Poor expertise of online support
0495-ZBNGW,Competitor,Competitor offered more data
0496-AHOOK,,
0504-HHAPI,Other,Don't know
0505-SPOOW,,
0506-LVNGN,Competitor,Competitor had better devices
0506-YLVKJ,,
0508-OOLTO,,
0508-SQWPL,,
0511-JTEOY,Competitor,Competitor made better offer
0512-FLFDW,,
0513-RBGPE,,
0515-YPMCW,Competitor,Competitor had better devices
0516-OOHAR,,
0516-QREYC,,
0516-UXRMT,,
0516-VRYBW,Attitude,Attitude of support person
0516-WJVXC,Dissatisfaction,Network reliability
0519-DRGTI,,
0519-XUZJU,Dissatisfaction,Service dissatisfaction
0520-FDVVT,Price,Price too high
0523-VNGTF,,
0524-IAVZO,Other,Don't know
0526-SXDJP,,
0529-ONKER,Attitude,Attitude of support person
0530-IJVDB,,
0531-XBKMM,,
0531-ZZJWQ,,
0533-BNWKF,Competitor,Competitor made better offer
0533-UCAAU,,
0536-ACXIP,,
0536-BGFMZ,,
0536-ESJEP,,
0537-QYZZN,,
0541-FITGH,,
0547-HURJB,,
0549-CYCQN,,
0550-DCXLH,,
0556-FJEGU,,
0557-ASKVU,,
0559-CKHUS,,
0562-FGDCR,,
0562-HKHML,,
0562-KBDVM,,
0564-JJHGS,Dissatisfaction,Limited range of services
0564-MUUQK,,
0565-IYCGT,Competitor,Competitor made better offer
0565-JUPYD,,
0567-GGCAC,,
0567-XRHCU,,
0568-ONFPC,Other,Moved
0570-BFQHT,,
0572-ZJKLT,,
0575-CUQOV,,
0576-WNXXC,Dissatisfaction,Service dissatisfaction
0577-WHMEV,,
0578-SKVMF,Competitor,Competitor had better devices
0580-PIQHM,,
0581-BXBUB,,
0581-MDMPW,,
0582-AVCLN,,
0584-BJQGZ,,
0585-EGDDA,,
0587-DMGBH,Competitor,Competitor offered higher download speeds
0594-UFTUL,,
0595-ITUDF,,
0596-BQCEQ,Competitor,Competitor had better devices
0599-XNYDO,,
0601-WZHJF,Attitude,Attitude of service provider
0602-DDUML,,
0603-OLQDC,,
0603-TPMIB,,
0604-THJFP,,
0607-DAAHE,Price,Long distance charges
0607-MVMGC,,
0608-JDVEC,,
0611-DFXKO,Dissatisfaction,Service dissatisfaction
0612-RTZZA,Price,Price too high
0613-WUXUM,,
0616-ATFGB,Competitor,Competitor had better devices
0617-AQNWT,Competitor,Competitor made better offer
0617-FHSGK,Price,Extra data charges
0618-XWMSS,Price,Long distance charges
0619-OLYUR,,
0620-DLSLK,,
0620-XEFWH,,
0621-CXBKL,,
0621-HJWXJ,,
0621-JFHOL,,
0621-TSSMU,,
0621-TWIEM,Attitude,Attitude of support person
0623-EJQEG,,
0623-GDISB,,
0623-IIHUG,Competitor,Competitor made better offer
0625-AFOHS,,
0626-QXNGV,,
0628-CNQRM,Other,Don't know
0634-SZPQA,Competitor,Competitor offered higher download speeds
0635-WKOLD,,
0637-KVDLV,Other,Don't know
0637-UBJRP,Competitor,Competitor offered higher download speeds
0637-YLETY,Attitude,Attitude of service provider
0639-TSIQW,Competitor,Competitor offered more data
0640-YJTPY,,
0641-EVBOJ,,
0643-OKLRP,Dissatisfaction,Network reliability
0644-OQMDK,,
0650-BWOZN,,
0654-HMSHN,Attitude,Attitude of support person
0654-PQKDW,,
0655-RBDUG,Competitor,Competitor had better devices
0655-YDGFJ,,
0657-DOGUM,,
0661-KBKPA,,
0661-KQHNK,,
0661-WCQNQ,,
0661-XEYAN,Competitor,Competitor had better devices
0665-XHDJU,,
0666-UXTJO,,
0667-NSRGI,,
0668-OGMHD,,
0670-ANMUU,,
0670-KDOMA,,
0673-IGUQO,,
0674-DGMAQ,,
0674-EYYZV,,
0674-GCDXG,,
0675-NCDYU,,
0678-RLHVP,,
0679-IDSTG,Competitor,Competitor had better devices
0679-TDGAK,,
0680-DFNNY,Competitor,Competitor offered more data
0682-USIXD,,
0684-AOSIH,Dissatisfaction,Network reliability
0685-MLYYM,Price,Long distance charges
0687-ZVTHB,Competitor,Competitor offered more data
0689-DSXGL,,
0689-NKYLF,Attitude,Attitude of support person
0690-SRQID,,
0691-IFBQW,Competitor,Competitor made better offer
0691-JVSYA,Competitor,Competitor had better devices
0691-NIKRI,,
0696-UKTOX,,
0697-ZMSWS,Dissatisfaction,Limited range of services
0699-NDKJM,,
0701-RFGFI,,
0701-TJSEF,,
0702-PGIBZ,Competitor,Competitor made better offer
0704-VCUMB,,
0707-HOVVN,,
0708-LGSMF,,
0708-SJDIS,,
0709-TVGUR,Competitor,Competitor had better devices
0716-BQNDX,,
0719-SYFRB,Competitor,Competitor offered higher download speeds
0722-SVSFK,,
0722-TROQR,Price,Lack of affordable download/upload speed
0723-DRCLG,Other,Don't know
0723-FDLAY,,
0723-VSOBE,,
0725-CXOTM,,
0727-BMPLR,Competitor,Competitor offered higher download speeds
0727-BNRLG,,
0727-IWKVK,Price,Extra data charges
0730-BGQGF,,
0730-KOAVE,,
0731-EBJQB,,
0732-OCQOC,,
0733-VUNUW,Competitor,Competitor had better devices
0734-OXWBT,,
0739-UUAJR,,
0742-LAFQK,,
0742-MOABM,Competitor,Competitor made better offer
0742-NXBGR,Competitor,Competitor had better devices
0743-HNPFG,,
0743-HRVFF,,
0744-BIKKF,,
0744-GKNGE,,
0746-JTRFU,Dissatisfaction,Product dissatisfaction
0748-RDGGM,Price,Long distance charges
0749-IRGQE,,
0750-EBAIU,,
0750-EKNGL,,
0754-EEBDC,,
0754-UKWQP,Competitor,Competitor had better devices
0756-MPZRL,,
0757-WCUUZ,,
0761-AETCS,Attitude,Attitude of support person
0769-MURVM,,
0771-CHWSK,,
0771-WLCLA,,
0772-GYEQQ,Competitor,Competitor offered more data
0774-IFUVM,,
0774-RMNUW,,
0778-NELLA,Competitor,Competitor offered higher download speeds
0780-XNZFN,,
0781-LKXBR,Competitor,Competitor had better devices
0784-GTUUK,,
0784-ZQJZX,,
0786-IVLAW,,
0786-VSSUD,Competitor,Competitor had better devices
0787-LHDYT,,
0788-DXBFY,,
0793-TWELN,,
0794-YVSGE,,
0795-GMVQO,,
0795-LAFGP,,
0795-XCCTE,,
0799-DDIHE,,
0804-XBFBV,,
0804-YGEQV,,
0807-ZABDG,Competitor,Competitor offered higher download speeds
0810-BDHAW,,
0810-DHDBD,,
0811-GSDTP,,
0812-WUPTB,Price,Long distance charges
0813-TAXXS,,
0815-MFZGM,,
0816-TSPHQ,,
0817-HSUSE,,
0818-OCPZO,Competitor,Competitor offered more data
0820-FNRNX,,
0822-GAVAP,Competitor,Competitor made better offer
0822-QGCXA,,
0823-HSCDJ,Competitor,Competitor made better offer
0824-VWDPO,,
0825-CPPQH,,
0827-ITJPH,,
0829-DDVLK,,
0829-XXPLX,,
0831-JNISG,,
0835-DUUIQ,,
0835-JKADZ,,
0836-SEYLU,Competitor,Competitor had better devices
0839-JTCUD,,
0839-QNXME,,
0840-DCNZE,,
0840-DFEZH,,
0841-NULXI,Other,Don't know
0842-IWYCP,,
0843-WTBXE,Other,Don't know
0847-HGRML,,
0848-SOMKO,,
0848-ZGQIJ,,
0851-DFJKB,,
0853-NWIFK,,
0853-TWRVK,,
0854-UYHZD,,
0856-NAOES,,
0859-YGKFW,,
0862-PRCBS,,
0864-FVJNJ,,
0866-QLSIR,Attitude,Attitude of support person
0867-LDTTC,,
0867-MKZVY,Price,Price too high
0868-VJRDR,,
0869-PAPRP,,
0870-VEMYL,Competitor,Competitor offered higher download speeds
0871-OPBXW,,
0871-URUWO,Competitor,Competitor had better devices
0872-CASZJ,,
0872-JCPIB,,
0872-NXJYS,Competitor,Competitor offered more data
0875-CABNR,Attitude,Attitude of support person
0876-WDUUZ,Price,Long distance charges
0877-SDMBN,Competitor,Competitor made better offer
0880-FVFWF,,
0880-TKATG,Competitor,Competitor had better devices
0883-EIBTI,Dissatisfaction,Limited range of services
0885-HMGPY,,
0886-QGENL,Attitude,Attitude of service provider
0887-HJGAR,Competitor,Competitor offered higher download speeds
0887-WBJVH,,
0895-DQHEW,Competitor,Competitor offered more data
0895-LMRSF,,
0895-LNKRC,,
0895-UADGO,,
0897-FEGMU,Dissatisfaction,Network reliability
0898-XCGTF,,
0899-LIIBW,,
0899-WZRSD,,
0902-RFHOF,,
0902-XKXPN,,
0906-QVPMS,,
0907-HQNTS,,
0909-SDHNU,,
0909-SELIE,,
0913-XWSCN,,
0916-KNFAJ,,
0916-QOFDP,,
0917-EZOLA,Price,Extra data charges
0921-OHLVP,,
0923-PNFUB,Attitude,Attitude of support person
0924-BJCRC,,
0925-VYDLG,Attitude,Attitude of service provider
0927-CNGRH,,
0927-LCSMG,Competitor,Competitor offered more data
0928-JMXNP,,
0928-XUTSN,,
0929-HYQEW,,
0929-PECLO,,
0930-EHUZA,,
0931-MHTEM,,
0932-YIXYU,,
0936-NQLJU,,
0939-EREMR,,
0939-YAPAF,Competitor,Competitor offered higher download speeds
0940-OUQEC,Competitor,Competitor offered more data
0942-KOWSM,,
0943-ZQPXH,,
0945-TSONX,,
0946-CLJTI,Competitor,Competitor had better devices
0946-FKYTX,,
0947-IDHRQ,Competitor,Competitor made better offer
0947-MUGVO,Competitor,Competitor had better devices
0952-KMEEH,Price,Long distance charges
0953-LGOVU,,
0956-ACVZC,,
0956-SYCWG,,
0958-YHXGP,,
0959-WHOKV,,
0960-HUWBM,,
0961-ZWLVI,,
0962-CQPWQ,,
0963-ZBDRN,Attitude,Attitude of support person
0967-BMLBD,,
0968-GSIKN,Competitor,Competitor made better offer
0969-RGKCU,,
0970-ETWGE,Competitor,Competitor had better devices
0970-QXPXW,,
0971-QIFJK,,
0973-KYVNF,,
0975-UYDTX,,
0975-VOOVL,,
0979-MOZQI,,
0979-PHULV,Competitor,Competitor made better offer
0980-FEXWF,,
0980-PVMRC,,
0983-TATYJ,,
0988-AADSA,,
0988-JRWWP,,
0991-BRRFB,Other,Deceased
0993-OSGPT,,
0997-YTLNY,,
0999-QXNSA,,
1000-AJSLD,Competitor,Competitor made better offer
1004-NOZNR,,
1009-IRMNA,Attitude,Attitude of support person
1010-DIAUQ,Competitor,Competitor made better offer
1013-QCWAM,,
1015-JPFYW,,
1015-OWJKI,,
1016-DJTSV,,
1017-FBQMM,,
1020-JPQOW,,
1022-RKXDR,,
1023-BQXZE,,
1024-GUALD,Dissatisfaction,Product dissatisfaction
1024-KPRBB,,
1024-VRZHF,Competitor,Competitor made better offer
1025-FALIX,,
1027-LKKQQ,,
1028-FFNJK,,
1029-QFBEN,Competitor,Competitor made better offer
1031-IIDEO,Dissatisfaction,Network reliability
1032-MAELW,,
1035-IPQPU,,
1036-GUDCL,,
1038-RQOST,,
1038-ZAGBI,Attitude,Attitude of support person
1041-RXHRA,Attitude,Attitude of support person
1042-HFUCW,,
1043-UXOVO,,
1043-YCUTE,Dissatisfaction,Service dissatisfaction
1045-LTCYT,,
1047-NNCBF,,
1047-RNXZV,,
1049-FYSYG,,
1051-EQPZR,,
1051-GEJLJ,,
1052-QJIBV,,
1053-MXTTK,,
1057-FOGLZ,,
1060-ENTOF,,
1061-PNTHC,,
1062-LHZOD,Competitor,Competitor made better offer
1063-DHQJF,,
1064-FBXNK,,
1066-JKSGK,Competitor,Competitor made better offer
1069-QJOEE,,
1069-XAIEM,Competitor,Competitor had better devices
1073-XXCZD,,
1074-AMIOH,,
1074-WVEVG,,
1075-BGWOH,Attitude,Attitude of support person
1077-HUUJM,,
1078-TDCRN,,
1080-BWSYE,,
1084-MNSMJ,,
1084-UQCHV,Attitude,Attitude of support person
1085-LDWAM,,
1086-LXKFY,Other,Don't know
1087-GRUYI,,
1087-UDSIH,Attitude,Attitude of support person
1088-AUUZZ,,
1088-CNNKB,,
1089-HDMKP,,
1089-XZWHH,,
1090-ESELR,,
1090-PYKCI,,
1091-SOZGA,,
1092-GANHU,Competitor,Competitor offered more data
1092-WPIVQ,,
1093-YSWCA,,
1094-BKOSX,,
1095-JUDTC,Competitor,Competitor offered higher download speeds
1095-WGNGG,,
1096-ADRUX,,
1097-FSPVW,,
1098-KFQEC,,
1098-TDVUQ,,
1099-BTKWT,,
1099-GODLO,,
1100-DDVRV,,
1101-SSWAG,,
1104-FEJAM,,
1104-TNLZA,,
1106-HRLKZ,,
1110-KYLGQ,,
1112-CUNAO,Dissatisfaction,Service dissatisfaction
1113-IUJYX,Competitor,Competitor offered higher download speeds
1114-CENIM,Other,Don't know
1116-DXXDF,,
1116-FRYVH,,
1120-BMWUB,Other,Don't know
1121-QSIVB,,
1122-JWTJW,Competitor,Competitor had better devices
1122-YJBCS,,
1125-SNVCK,,
1131-ALZWV,,
1131-QQZEB,,
1131-SUEKT,,
1133-KXCGE,,
1134-YWTYF,,
1135-HIORI,,
1135-LMECX,,
1136-XGEQU,,
1137-DGOWI,,
1139-WUOAH,,
1140-UKVZG,,
1142-IHLOO,,
1142-WACZW,Other,Don't know
1143-NMNQJ,Attitude,Attitude of service provider
1150-FTQGN,,
1150-WFARN,Competitor,Competitor had better devices
1153-GNOLC,,
1154-HYWWO,,
1156-ZFYDO,,
1157-BQCUW,Competitor,Competitor had better devices
1159-WFSGR,,
1162-ECVII,,
1163-ONYEY,,
1163-VIPRI,,
1166-PQLGG,,
1167-OYZJF,,
1169-SAOCL,,
1169-WCVAK,,
1170-SASML,,
1171-TYKUR,,
1172-VIYBP,,
1173-NOEYG,,
1173-XZPYF,,
1174-FGIFN,,
1177-XZBJL,,
1178-PZGAB,,
1179-INLAT,,
1183-CANVH,,
1184-PJVDB,Competitor,Competitor had better devices
1187-WILMM,,
1193-RTSLK,Competitor,Competitor offered higher download speeds
1194-BHJYC,,
1194-HVAIF,,
1194-SPVSP,,
1195-OIYEJ,Attitude,Attitude of support person
1196-AMORA,Competitor,Competitor offered more data
1197-BVMVG,,
1200-TUZHR,,
1202-KKGFU,,
1205-WNWPJ,Other,Moved
1206-EHBDD,,
1207-BLKSA,,
1208-DNHLN,Other,Don't know
1208-NBVFH,,
1209-VFFOC,,
1212-GLHMD,,
1213-NGCUN,Dissatisfaction,Lack of self-service on Website
1215-EXRMO,,
1215-FIGMP,,
1215-VFYVK,,
1216-BGTSP,,
1216-JWVUX,,
1217-VASWC,,
1218-VKFPE,Competitor,Competitor made better offer
1219-NNDDO,,
1221-GHZEP,,
1222-KJNZD,,
1222-LRYKO,,
1223-UNPKS,,
1226-IENZN,,
1226-JZNKR,,
1226-UDFZR,Dissatisfaction,Network reliability
1227-UDMZR,,
1228-FZFRV,Price,Extra data charges
1228-ZLNBX,,
1229-RCALF,,
1230-QAJDW,,
1231-YNDEK,,
1236-WFCDV,Competitor,Competitor offered more data
1237-WIYYZ,,
1240-HCBOH,,
1240-KNSEZ,Price,Long distance charges
1241-EZFMJ,,
1241-FPMOF,,
1245-HARPS,,
1247-QBVSH,,
1248-DYXUB,,
1251-KRREG,Price,Price too high
1251-STYSZ,,
1254-IZEYF,Competitor,Competitor made better offer
1257-SXUXQ,,
1258-YMZNM,,
1260-TTRXI,Price,Long distance charges
1261-FWTTE,,
1262-OPMFY,Competitor,Competitor made better offer
1264-BYWMS,Competitor,Competitor offered more data
1264-FUHCX,,
1265-BCFEO,,
1265-HVPZB,,
1265-XTECC,Attitude,Attitude of service provider
1265-ZFOSD,,
1266-NZYUI,,
1268-ASBGA,Dissatisfaction,Limited range of services
1269-FOYWN,,
1270-XKUCC,,
1271-SJBGZ,Competitor,Competitor had better devices
1271-UODNO,,
1272-ILHFG,,
1273-MTETI,Other,Don't know
1282-IHQAC,,
1285-OKIPP,Attitude,Attitude of support person
1291-CUOCY,,
1293-BSEUN,,
1293-HHSHJ,,
1297-VQDRP,,
1298-PHBTI,,
1299-AURJA,,
1301-LOPVR,,
1302-TPUBN,,
1302-UHBDD,,
1303-SRDOK,,
1304-BCCFO,,
1304-NECVQ,Competitor,Competitor made better offer
1304-SEGFY,,
1306-RPWXZ,,
1307-ATKGB,,
1307-TVUFB,,
1309-BXVOQ,Price,Long distance charges
1309-XGFSN,,
1310-QRITU,,
1319-YLZJG,,
1320-GVNHT,,
1320-HTRDR,Attitude,Attitude of service provider
1320-REHCS,,
1322-AGOQM,Dissatisfaction,Service dissatisfaction
1323-OOEPC,Price,Extra data charges
1324-NLTJE,Other,Don't know
1325-USMEC,,
1328-EUZHC,,
1329-VHWNP,,
1333-PBMXB,,
1334-FJSVR,Dissatisfaction,Lack of self-service on Website
1334-PDUKM,,
1335-HQMKX,,
1335-MXCSE,,
1335-NTIUC,,
1336-EZFZY,,
1337-BOZWO,,
1338-CECEE,,
1342-JPNKI,Other,Don't know
1343-EHPYB,Competitor,Competitor made better offer
1345-GKDZZ,,
1345-ZUKID,,
1346-PJWTK,,
1346-UFHAX,,
1347-KTTTA,,
1349-WXNGG,Attitude,Attitude of support person
1352-HNSAW,,
1352-VHKAJ,,
1353-GHZOS,,
1353-LJWEM,,
1354-YZFNB,,
1355-KUSBG,,
1356-MKYSK,,
1357-BIJKI,,
1357-MVDOZ,,
1360-JYXKQ,,
1360-RCYRT,,
1360-XFJMR,,
1363-TXLSL,Competitor,Competitor had better devices
1370-GGAWX,,
1371-DWPAZ,,
1371-OJCEK,,
1371-WEPDS,,
1373-ORVIZ,Competitor,Competitor had better devices
1374-DMZUI,Competitor,Competitor made better offer
1376-HHBDV,,
1379-FRVEB,,
1383-EZRWL,Other,Moved
1384-RCUXW,,
1385-TQOZW,,
1386-ZIKUV,,
1389-CXMLU,Competitor,Competitor made better offer
1389-WNUIB,,
1391-UBDAR,,
1393-IMKZG,,
1394-SUIUH,,
1395-OFUWC,,
1395-WSWXR,,
1396-QWFBJ,Dissatisfaction,Lack of self-service on Website
1397-XKKWR,,
1399-OUPJN,,
1399-UBQIU,,
1400-MMYXY,Attitude,Attitude of service provider
1400-WIVLL,,
1401-FTHFQ,,
1402-PTHGN,,
1403-GYAFU,,
1403-LKLIK,,
1406-PUQVY,,
1407-DIGZV,,
1409-PHXTF,,
1410-RSCMR,,
1414-YADCW,,
1415-YFWLT,Competitor,Competitor had better devices
1421-HCERK,,
1422-DGUBX,,
1423-BMPBQ,,
1427-VERSM,,
1428-GTBJJ,Price,Long distance charges
1428-IEDPR,,
1429-UYJSV,,
1430-SFQSA,,
1431-AIDJQ,,
1431-CYWMH,,
1432-FPAXX,Dissatisfaction,Product dissatisfaction
1436-ZMJAN,,
1439-LCGVL,,
1442-BQPVU,,
